iter	MAE
0	2.297186108
1	2.269594393
2	2.242462641
3	2.213503882
4	2.187864624
5	2.16223966
6	2.137698937
7	2.114667072
8	2.089894403
9	2.065108528
10	2.043278776
11	2.023129458
12	2.003125077
13	1.985343967
14	1.967155837
15	1.948517776
16	1.927411638
17	1.908811876
18	1.893391226
19	1.878589419
20	1.86138447
21	1.845307922
22	1.830834252
23	1.815425705
24	1.802576817
25	1.789007007
26	1.776662679
27	1.764645754
28	1.752820649
29	1.741046883
30	1.729547379
31	1.718504566
32	1.708799389
33	1.698213716
34	1.687919303
35	1.678803735
36	1.669836138
37	1.66077841
38	1.65227764
39	1.644320238
40	1.636636816
41	1.629246446
42	1.621913581
43	1.614957297
44	1.608003889
45	1.602182223
46	1.596952867
47	1.591249533
48	1.585703901
49	1.580122601
50	1.574519982
51	1.56943482
52	1.564270499
53	1.559187074
54	1.554586088
55	1.550258694
56	1.546855968
57	1.542886689
58	1.538312257
59	1.534400602
60	1.531033466
61	1.527174065
62	1.523827042
63	1.520312622
64	1.517118827
65	1.513479413
66	1.51021714
67	1.507032279
68	1.504478429
69	1.501639511
70	1.499005757
71	1.496597699
72	1.493402692
73	1.491302316
74	1.48820547
75	1.485640856
76	1.483344866
77	1.481905863
78	1.480019727
79	1.477962392
80	1.475707008
81	1.473779448
82	1.471680721
83	1.469900655
84	1.468180479
85	1.466421573
86	1.464703935
87	1.46315768
88	1.461629096
89	1.460279401
90	1.458522713
91	1.456670655
92	1.455669939
93	1.454317967
94	1.45273669
95	1.451258291
96	1.449653933
97	1.44818694
98	1.446904534
99	1.445568652
100	1.444169712
101	1.44315263
102	1.441881151
103	1.440849184
104	1.439855921
105	1.439009229
106	1.438000714
107	1.436751265
108	1.435511643
109	1.434595195
110	1.433363793
111	1.432526211
112	1.431773323
113	1.430856816
114	1.429902263
115	1.429163755
116	1.428515759
117	1.427689388
118	1.427200654
119	1.426710075
120	1.426191197
121	1.425437243
122	1.424765307
123	1.424061131
124	1.423552657
125	1.422516857
126	1.421995287
127	1.421348991
128	1.420634674
129	1.419988043
130	1.419420795
131	1.418948171
132	1.418313547
133	1.417570087
134	1.416842547
135	1.416266501
136	1.415953765
137	1.415467513
138	1.415213629
139	1.414722619
140	1.414470411
141	1.41394001
142	1.413342312
143	1.412764965
144	1.412268667
145	1.411982031
146	1.4113342
147	1.41088317
148	1.410534388
149	1.410170366
150	1.409765615
151	1.409312744
152	1.408849289
153	1.408502688
154	1.408238902
155	1.408092846
156	1.407860076
157	1.407233981
158	1.407051548
159	1.406662576
160	1.406405652
161	1.406063549
162	1.40579296
163	1.40527721
164	1.404894425
165	1.404561542
166	1.404359313
167	1.404116802
168	1.403592219
169	1.403192207
170	1.402679254
171	1.402235015
172	1.401992004
173	1.401763717
174	1.401445693
175	1.401165182
176	1.401015994
177	1.400765169
178	1.400540791
179	1.40030934
180	1.400103097
181	1.39981968
182	1.39939244
183	1.399251509
184	1.39907384
185	1.398958703
186	1.398811431
187	1.398730824
188	1.39827725
189	1.398019829
190	1.397861573
191	1.397605133
192	1.397274913
193	1.397018493
194	1.396922535
195	1.396675977
196	1.396351647
197	1.396235447
198	1.396046471
199	1.396001539
200	1.395768067
201	1.395426852
202	1.395304819
203	1.394986959
204	1.394630349
205	1.394622433
206	1.394487863
207	1.394358585
208	1.394241789
209	1.394106305
210	1.393792552
211	1.393745649
212	1.393529137
213	1.393448107
214	1.393290354
215	1.393086355
216	1.392887108
217	1.392837867
218	1.392677748
219	1.392483856
220	1.392434419
221	1.392309286
222	1.392159141
223	1.392044954
224	1.391971983
225	1.391782941
226	1.39167364
227	1.391407516
228	1.39120434
229	1.391162006
230	1.391156755
231	1.390982356
232	1.390815455
233	1.390733797
234	1.390561259
235	1.390491703
236	1.390264027
237	1.390010306
238	1.389892518
239	1.389742494
240	1.3895126
241	1.389221306
242	1.389083677
243	1.38896364
244	1.388801482
245	1.388633683
246	1.388463847
247	1.388389684
248	1.388250002
249	1.388170435
250	1.387997939
251	1.38784349
252	1.387679585
253	1.387541787
254	1.387389949
255	1.387336202
256	1.387163866
257	1.387028148
258	1.386887705
259	1.386796546
260	1.386740946
261	1.386501898
262	1.386390941
263	1.386197833
264	1.386114228
265	1.38592606
266	1.385834844
267	1.385757729
268	1.385696655
269	1.385596583
270	1.385481139
271	1.385381563
272	1.385376884
273	1.385263826
274	1.385172486
275	1.3851095
276	1.385075684
277	1.385040945
278	1.384994489
279	1.384916267
280	1.384831147
281	1.384791416
282	1.384763982
283	1.384687048
284	1.384591567
285	1.384373904
286	1.384315588
287	1.384210662
288	1.384144615
289	1.384114157
290	1.383925641
291	1.383843862
292	1.383791844
293	1.383640217
294	1.383558662
295	1.383478093
296	1.383465643
297	1.383411164
298	1.383336336
299	1.383319343
300	1.38329798
301	1.383257802
302	1.383210058
303	1.383012038
304	1.382994566
305	1.382979981
306	1.382963778
307	1.382898478
308	1.382741508
309	1.382715639
310	1.382648642
311	1.382635254
312	1.382436916
313	1.382344592
314	1.382210154
315	1.382165361
316	1.382067988
317	1.382041387
318	1.381953797
319	1.381823557
320	1.381760486
321	1.38167297
322	1.381638695
323	1.381458722
324	1.381444317
325	1.381304918
326	1.381293581
327	1.381070497
328	1.381041043
329	1.380999284
330	1.380932858
331	1.380794308
332	1.380543949
333	1.380290785
334	1.380216114
335	1.380198455
336	1.380126971
337	1.380120115
338	1.380066144
339	1.380058864
340	1.380042848
341	1.380025267
342	1.379964309
343	1.379920428
344	1.379756486
345	1.379740109
346	1.37970769
347	1.37948654
348	1.379263627
349	1.379044505
350	1.379038864
351	1.378933877
352	1.378739675
353	1.37872757
354	1.378505276
355	1.378453897
356	1.378444721
357	1.37828517
358	1.378139062
359	1.378045452
360	1.377980457
361	1.377943268
362	1.37793119
363	1.377841832
364	1.377764379
365	1.37775888
366	1.377579939
367	1.377387462
368	1.377323813
369	1.377273097
370	1.377212761
371	1.377173568
372	1.377051959
373	1.376996721
374	1.376973087
375	1.376944912
376	1.376937503
377	1.376651607
378	1.376642626
379	1.376544356
380	1.376525762
381	1.376333201
382	1.37630367
383	1.376245363
384	1.376210724
385	1.376093628
386	1.376054718
387	1.376042482
388	1.375894803
389	1.375729842
390	1.375704082
391	1.375644192
392	1.375553001
393	1.375456402
394	1.375443368
395	1.375287343
396	1.375240849
397	1.375055139
398	1.374957247
399	1.374907922
400	1.374891367
401	1.374663372
402	1.37462673
403	1.374613891
404	1.374604405
405	1.374579334
406	1.374566588
407	1.37452984
408	1.374402785
409	1.374370771
410	1.374170093
411	1.37412802
412	1.374059867
413	1.374005289
414	1.373974638
415	1.373963766
416	1.373923045
417	1.373682721
418	1.373661281
419	1.373433931
420	1.373404754
421	1.373271459
422	1.373252763
423	1.373179766
424	1.373011803
425	1.372977415
426	1.372809386
427	1.372751941
428	1.372667355
429	1.372430968
430	1.372382319
431	1.372322387
432	1.372142458
433	1.372133602
434	1.372074159
435	1.372053244
436	1.371963711
437	1.371811568
438	1.371784491
439	1.371553043
440	1.371522161
441	1.371305348
442	1.37126066
443	1.37123773
444	1.371187342
445	1.371164956
446	1.371118905
447	1.371113217
448	1.370886683
449	1.370869526
450	1.370837256
451	1.370828549
452	1.370799952
453	1.370781703
454	1.370713797
455	1.370696282
456	1.370679657
457	1.370535282
458	1.370496094
459	1.370474917
460	1.370468694
461	1.370439797
462	1.370277987
463	1.370180748
464	1.370058138
465	1.370039232
466	1.369855495
467	1.369783514
468	1.369633458
469	1.369412488
470	1.369320744
471	1.369107744
472	1.368956174
473	1.368936725
474	1.368930685
475	1.368832748
476	1.368756433
477	1.368740199
478	1.368663541
479	1.368639519
480	1.36853611
481	1.36849665
482	1.368278933
483	1.368119842
484	1.368078533
485	1.368017143
486	1.367966565
487	1.36790714
488	1.367884098
489	1.367847238
490	1.367830782
491	1.367787311
492	1.367764648
493	1.367701722
494	1.367680244
495	1.36765894
496	1.367627175
497	1.367607397
498	1.367455514
499	1.367433601
500	1.3674167
501	1.367263125
502	1.367207458
503	1.367174461
504	1.367050008
505	1.367022019
506	1.366847658
507	1.366832845
508	1.366678702
509	1.366504544
510	1.366335036
511	1.366173972
512	1.366141379
513	1.366109902
514	1.366088296
515	1.366073227
516	1.366026008
517	1.366015908
518	1.365905325
519	1.365900348
520	1.365894467
521	1.365861222
522	1.36581903
523	1.365774633
524	1.365746093
525	1.365723401
526	1.36570703
527	1.365697956
528	1.365561175
529	1.36539177
530	1.365388295
531	1.365209499
532	1.365040986
533	1.36502729
534	1.365015826
535	1.36498357
536	1.364866495
537	1.364816483
538	1.364633527
539	1.364577009
540	1.364497251
541	1.364490479
542	1.364460547
543	1.364286344
544	1.364270293
545	1.364258842
546	1.364239403
547	1.364195652
548	1.364051414
549	1.36391498
550	1.363741447
551	1.363700271
552	1.363555779
553	1.363549792
554	1.363536353
555	1.363419272
556	1.363261447
557	1.363252211
558	1.363118245
559	1.363082552
560	1.362931813
561	1.362786904
562	1.362602007
563	1.36256418
564	1.362550756
565	1.362433486
566	1.362421033
567	1.362405492
568	1.362271205
569	1.362141184
570	1.361993932
571	1.361881089
572	1.361844526
573	1.361699882
574	1.361574788
575	1.361546617
576	1.361513709
577	1.361349071
578	1.361204317
579	1.361143135
580	1.36100682
581	1.360870106
582	1.3608159
583	1.36066549
584	1.360610554
585	1.360601846
586	1.360573797
587	1.360398054
588	1.360356988
589	1.360213917
590	1.360105511
591	1.359965231
