iter	Passed	Remaining
0	27	27748
1	48	23983
2	69	23013
3	87	21702
4	102	20469
5	122	20351
6	141	20022
7	159	19768
8	177	19594
9	198	19613
10	213	19159
11	227	18759
12	247	18790
13	264	18598
14	281	18502
15	295	18157
16	312	18053
17	328	17936
18	344	17785
19	361	17727
20	378	17660
21	392	17448
22	409	17405
23	428	17411
24	444	17323
25	456	17097
26	471	17003
27	490	17025
28	506	16956
29	518	16778
30	535	16737
31	553	16730
32	569	16679
33	585	16622
34	602	16600
35	619	16589
36	636	16558
37	652	16506
38	666	16417
39	683	16393
40	700	16386
41	719	16406
42	736	16385
43	752	16344
44	766	16266
45	782	16232
46	805	16326
47	826	16385
48	848	16459
49	872	16569
50	893	16625
51	913	16650
52	943	16854
53	961	16842
54	975	16762
55	992	16722
56	1008	16689
57	1026	16673
58	1042	16627
59	1059	16594
60	1073	16520
61	1089	16488
62	1106	16450
63	1122	16416
64	1136	16354
65	1166	16510
66	1207	16813
67	1250	17141
68	1282	17303
69	1310	17411
70	1333	17442
71	1364	17585
72	1391	17668
73	1409	17640
74	1423	17556
75	1441	17524
76	1459	17497
77	1476	17453
78	1493	17411
79	1510	17374
80	1527	17331
81	1545	17299
82	1561	17252
83	1577	17199
84	1593	17158
85	1611	17122
86	1627	17080
87	1645	17053
88	1661	17007
89	1677	16965
90	1692	16905
91	1710	16884
92	1729	16864
93	1744	16816
94	1758	16748
95	1775	16719
96	1793	16698
97	1809	16656
98	1825	16612
99	1842	16583
100	1860	16564
101	1877	16525
102	1893	16487
103	1908	16444
104	1923	16394
105	1940	16366
106	1956	16328
107	1972	16288
108	1986	16237
109	2002	16201
110	2017	16159
111	2033	16120
112	2048	16076
113	2064	16047
114	2082	16027
115	2099	16001
116	2116	15973
117	2135	15965
118	2154	15954
119	2168	15903
120	2186	15882
121	2202	15851
122	2218	15821
123	2235	15796
124	2253	15771
125	2267	15725
126	2283	15700
127	2300	15671
128	2316	15638
129	2330	15595
130	2347	15570
131	2366	15562
132	2383	15536
133	2398	15501
134	2412	15458
135	2431	15447
136	2450	15434
137	2466	15408
138	2482	15376
139	2497	15339
140	2513	15311
141	2530	15290
142	2546	15263
143	2563	15239
144	2577	15195
145	2592	15163
146	2606	15122
147	2622	15094
148	2636	15058
149	2651	15026
150	2667	15000
151	2685	14982
152	2701	14956
153	2719	14939
154	2735	14914
155	2754	14904
156	2774	14897
157	2789	14867
158	2802	14823
159	2818	14796
160	2835	14775
161	2850	14747
162	2863	14706
163	2884	14702
164	2919	14775
165	2942	14783
166	2962	14775
167	2982	14770
168	3002	14763
169	3023	14759
170	3043	14754
171	3063	14746
172	3083	14741
173	3103	14730
174	3121	14716
175	3137	14689
176	3154	14666
177	3171	14646
178	3187	14618
179	3202	14588
180	3218	14562
181	3233	14533
182	3248	14504
183	3264	14479
184	3279	14447
185	3293	14414
186	3308	14384
187	3323	14352
188	3339	14328
189	3355	14303
190	3369	14272
191	3385	14246
192	3401	14224
193	3417	14197
194	3432	14169
195	3447	14141
196	3463	14119
197	3480	14097
198	3496	14072
199	3510	14043
200	3527	14020
201	3542	13994
202	3557	13967
203	3574	13946
204	3591	13928
205	3601	13883
206	3617	13857
207	3632	13831
208	3648	13810
209	3664	13786
210	3680	13761
211	3694	13732
212	3711	13714
213	3726	13686
214	3742	13664
215	3756	13635
216	3773	13616
217	3789	13594
218	3809	13585
219	3825	13562
220	3840	13537
221	3854	13508
222	3871	13490
223	3889	13474
224	3904	13448
225	3917	13416
226	3933	13395
227	3951	13380
228	3967	13356
229	3981	13331
230	3991	13288
231	4007	13266
232	4024	13247
233	4037	13218
234	4053	13196
235	4069	13173
236	4086	13155
237	4100	13127
238	4116	13106
239	4131	13082
240	4147	13061
241	4161	13036
242	4177	13013
243	4192	12989
244	4208	12970
245	4223	12945
246	4239	12924
247	4254	12901
248	4271	12882
249	4284	12854
250	4300	12833
251	4315	12810
252	4332	12792
253	4345	12762
254	4360	12739
255	4375	12716
256	4393	12700
257	4407	12674
258	4424	12658
259	4440	12637
260	4455	12616
261	4469	12588
262	4483	12564
263	4500	12545
264	4516	12526
265	4532	12505
266	4547	12483
267	4563	12463
268	4579	12444
269	4591	12413
270	4607	12393
271	4623	12373
272	4635	12344
273	4650	12323
274	4665	12300
275	4680	12277
276	4696	12258
277	4711	12235
278	4726	12213
279	4739	12188
280	4757	12172
281	4772	12151
282	4787	12129
283	4801	12105
284	4817	12086
285	4834	12068
286	4850	12049
287	4869	12039
288	4888	12025
289	4901	12000
290	4917	11981
291	4933	11961
292	4950	11944
293	4964	11920
294	4979	11901
295	4995	11881
296	5011	11861
297	5024	11835
298	5039	11815
299	5054	11792
300	5069	11772
301	5085	11753
302	5102	11736
303	5117	11717
304	5133	11697
305	5146	11671
306	5161	11650
307	5176	11630
308	5193	11613
309	5207	11589
310	5223	11571
311	5237	11548
312	5260	11545
313	5273	11521
314	5289	11502
315	5305	11484
316	5321	11465
317	5334	11440
318	5349	11420
319	5364	11400
320	5381	11383
321	5395	11360
322	5410	11340
323	5427	11323
324	5443	11305
325	5456	11282
326	5472	11263
327	5489	11247
328	5505	11229
329	5519	11205
330	5534	11185
331	5550	11167
332	5567	11151
333	5583	11132
334	5599	11114
335	5614	11094
336	5627	11071
337	5642	11050
338	5657	11031
339	5670	11007
340	5744	11102
341	5778	11118
342	5794	11099
343	5810	11079
344	5827	11064
345	5841	11041
346	5855	11019
347	5873	11004
348	5892	10990
349	5910	10976
350	5925	10955
351	5940	10935
352	5957	10919
353	5970	10894
354	5986	10877
355	6002	10858
356	6016	10836
357	6031	10816
358	6048	10800
359	6064	10780
360	6083	10767
361	6096	10744
362	6112	10726
363	6128	10708
364	6144	10689
365	6156	10664
366	6171	10644
367	6186	10625
368	6202	10605
369	6217	10587
370	6234	10569
371	6249	10549
372	6264	10530
373	6279	10510
374	6293	10489
375	6308	10469
376	6322	10447
377	6338	10429
378	6352	10409
379	6365	10386
380	6382	10368
381	6398	10351
382	6412	10331
383	6426	10309
384	6443	10293
385	6459	10274
386	6473	10254
387	6486	10230
388	6504	10216
389	6519	10197
390	6533	10176
391	6549	10158
392	6566	10142
393	6582	10125
394	6596	10104
395	6611	10084
396	6628	10068
397	6644	10049
398	6658	10029
399	6674	10011
400	6690	9994
401	6708	9978
402	6723	9960
403	6735	9937
404	6752	9920
405	6767	9901
406	6778	9876
407	6793	9857
408	6811	9842
409	6827	9824
410	6843	9807
411	6857	9787
412	6875	9771
413	6890	9752
414	6904	9732
415	6916	9710
416	6932	9692
417	6949	9676
418	6963	9655
419	6979	9638
420	6995	9621
421	7010	9602
422	7023	9581
423	7038	9562
424	7056	9546
425	7074	9531
426	7087	9510
427	7102	9492
428	7119	9475
429	7134	9457
430	7146	9435
